|            Name|     sName|      ra|     dec|Dist_B|
|            char|      char|  double|  double|double|
|                |          |        |        |      |
|            null|      null|    null|    null|  null|
 G333.5081-0.2398  G333_5081 245.4641 -50.1872  11.76 
 G333.5685+0.0292  G333_5685 245.2348  -49.954   9.97 
 G333.6425+0.3764  G333_6425 244.9378 -49.6552   2.49 
 G333.6563+0.0587  G333_6563 245.2992 -49.8712  10.01 
 G333.6688-0.3480  G333_6688 245.7607 -50.1498   3.15 
 G333.6708-0.3575  G333_6708 245.7735 -50.1549   3.15 
 G333.6827-0.2555  G333_6827 245.6737 -50.0746  11.83 
 G333.6987-0.2122  G333_6987 245.6434 -50.0328  11.88 
 G333.7656+0.3477  G333_7656 245.1042 -49.5891   2.38 
 G334.1747+0.0764  G334_1747 245.8455 -49.4916   null 
 G335.5915+0.1836  G335_5915 247.2321 -48.4009  11.88 
 G336.0895+0.0341  G336_0895 247.9094 -48.1419   null 
 G336.4689-0.2023  G336_4689 248.5553  -48.025  13.44 
 G336.7428+0.1078  G336_7428 248.4926 -47.6134  10.66 
 G336.8177+0.1268  G336_8177 248.5471 -47.5456  10.36 
 G336.8315+0.1307  G336_8315 248.5567 -47.5327  10.48 
 G337.1617+0.1113  G337_1617 248.9078 -47.3026   10.8 
 G337.2059-0.0742  G337_2059 249.1543 -47.3948  11.12 
 G337.2860+0.0083  G337_2860 249.1436   -47.28   9.12 
 G337.3478-0.1584  G337_3478 249.3871 -47.3461  10.87 
 G337.5371-0.1728  G337_5371 249.5895  -47.215   null 
 G337.5807-0.0807  G337_5807 249.5316  -47.121   null 
 G337.6682-0.0430  G337_6682 249.5762 -47.0308   null 
 G337.7207+0.0436  G337_7207 249.5333 -46.9338   null 
 G337.9882+0.0237  G337_9882 249.8159 -46.7479  12.25 
 G338.0360-0.0429  G338_0360 249.9348 -46.7564   null 
 G338.0911-0.1493  G338_0911 250.1044 -46.7859   null 
 G338.1464+0.1094  G338_1464 249.8761 -46.5728   null 
 G338.3843+0.0118  G338_3843 250.2117 -46.4596  12.64 
 G338.4460-0.0064  G338_4460 250.2907 -46.4254  12.09 
 G338.4598+0.0239  G338_4598 250.2709  -46.395  12.54 
 G338.6209+0.0228  G338_6209 250.4264 -46.2748  13.68 
 G338.7851+0.4767  G338_7851 250.0924 -45.8514   4.25 
 G338.8688-0.4796  G338_8688 251.2112 -46.4175   2.81 
 G338.9293-0.0802  G338_9293 250.8316 -46.1104  12.28 
 G339.2067-0.6594  G339_2067 251.7273 -46.2778   3.11 
 G339.2580-0.0069  G339_2580 251.0618 -45.8141   9.24 
 G339.3148+0.2296  G339_3148 250.8592 -45.6162   4.58 
 G339.3645-0.1812  G339_3645  251.351 -45.8472   null 
 G339.8827-0.5784  G339_8827 252.2659 -45.7091   null 
 G339.9677-0.1632  G339_9677  251.891 -45.3765  12.91 
 G340.2060-0.0496  G340_2060 251.9863 -45.1212   7.93 
 G340.2230-0.1681  G340_2230 252.1303 -45.1846  11.92 
 G340.2401-0.1581  G340_2401 252.1351  -45.165  11.95 
 G340.2545-0.2261  G340_2545 252.2222 -45.1978  12.21 
 G340.2664-0.1570  G340_2664 252.1579 -45.1442  11.98 
 G340.2841-0.4013  G340_2841 252.4398 -45.2876   3.68 
 G341.0096-0.3595  G341_0096  253.049 -44.7024   3.43 
 G341.1806-0.2769  G341_1806  253.112 -44.5179   3.43 
 G341.7206+0.0591  G341_7206 253.2273 -43.8873  12.01 
 G344.0948-0.6416  G344_0948 256.0017 -42.4607   2.49 
 G344.1469-0.6158  G344_1469 256.0168 -42.4037   2.37 
 G345.4240-0.9156  G345_4240 257.3724 -41.5638   null 
 G345.5554+0.0239  G345_5554 256.4772 -40.8954   1.37 
 G347.6622+0.2264  G347_6622 257.9073 -39.0845   9.51 
 G347.6783+0.2039  G347_6783  257.943 -39.0848  10.46 
 G349.1665+0.1308  G349_1665 259.1314 -37.9206  10.88 
 G349.1770+0.1247  G349_1770 259.1454 -37.9156  10.88 
 G349.1823+0.0645  G349_1823 259.2115 -37.9462   null 
 G350.4475+0.8777  G350_4475 259.2979 -36.4438   null 
 G350.7599+0.7918  G350_7599 259.6087 -36.2382   1.34 
 G350.7733+0.7956  G350_7733 259.6145  -36.225   1.34 
 G350.7947+0.9075  G350_7947 259.5164 -36.1431   null 
 G350.8162+0.5146  G350_8162 259.9305 -36.3512   1.34 
 G350.9224+0.7443  G350_9224 259.7726 -36.1325   1.34 
 G350.9730+0.5488  G350_9730 260.0069 -36.2031   null 
 G351.0167+0.7356  G351_0167 259.8484 -36.0603   1.34 
 G351.1314+0.7709  G351_1314 259.8939 -35.9461   1.35 
 G351.1402+0.7551  G351_1402 259.9161 -35.9479   1.35 
 G351.1414+0.7764  G351_1414 259.8954 -35.9347   1.35 
 G351.1438+0.6599  G351_1438 260.0152 -35.9994   null 
 G351.1510+0.7656  G351_1510 259.9131  -35.933   1.35 
 G351.1588+0.7490  G351_1588 259.9355 -35.9361   1.35 
 G351.1734+0.6330  G351_1734 260.0633 -35.9906   1.34 
 G351.1785+0.6452  G351_1785 260.0545 -35.9794   1.34 
 G351.1821+0.5734  G351_1821   260.13 -36.0175   1.35 
 G351.1914+0.5841  G351_1914 260.1256 -36.0037   1.35 
 G351.2427+0.5295  G351_2427 260.2172 -35.9928   null 
 G351.4659+0.6821  G351_4659 260.2196 -35.7224   1.34 
 G351.4680+0.5865  G351_4680 260.3179 -35.7751   1.35 
 G351.4968+0.6453  G351_4968 260.2786  -35.718   1.34 
 G351.4981+0.6634  G351_4981 260.2612 -35.7066   1.35 
 G351.5089+0.6415  G351_5089 260.2909 -35.7102   1.34 
 G351.5228+0.1963  G351_5228 260.7527 -35.9515   null 
 G351.5290+0.6939  G351_5290 260.2519 -35.6638   1.34 
 G351.5471+0.1847  G351_5471 260.7814 -35.9381  11.64 
 G351.5508+0.6942  G351_5508  260.267 -35.6457   1.34 
 G351.5663+0.6068  G351_5663 260.3663 -35.6828   1.34 
 G351.5719+0.7631  G351_5719 260.2121 -35.5891   1.34 
 G351.6516+0.5283  G351_6516 260.5055 -35.6572   null 
 G351.7858+0.2130  G351_7858 260.9191 -35.7251   null 
 G352.5730-0.1914  G352_5730 261.8724 -35.2997   7.64 
 G352.9722+0.9249  G352_9722  261.018 -34.3439   1.35 
 G353.0114+0.9828  G353_0114 260.9868 -34.2789   1.34 
 G353.0195+0.9750  G353_0195 261.0001 -34.2766   1.34 
 G353.0325+0.5659  G353_0325  261.419 -34.4957   1.34 
 G353.0427+0.6905  G353_0427 261.3009 -34.4174   1.35 
 G353.0536+0.6812  G353_0536 261.3176 -34.4136   1.35 
 G353.0701+0.5051  G353_0701 261.5058 -34.4986   1.35 
 G353.0785+0.4196  G353_0785 261.5974 -34.5394   1.34 
 G353.0919+0.9713  G353_0919 261.0531 -34.2189   1.35 
 G353.2777+0.8504  G353_2777 261.3002 -34.1331   1.35 
